Elapsed time,Driver,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
'0:00.296',05,-0.094,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.298',05,-0.062,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.300',05,-0.039,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.302',05,-0.038,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.304',05,-0.055,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.306',05,-0.055,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.308',05,-0.049,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.310',05,-0.042,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.313',05,-0.054,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.315',05,-0.065,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.317',05,-0.05,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.319',05,-0.063,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.321',05,-0.111,0.414,6.235,10.672,89.0,12.48,31.99
'0:00.323',05,-0.077,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.325',05,0.005,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.327',05,0.0,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.329',05,-0.034,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.331',05,-0.051,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.333',05,-0.074,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.335',05,-0.087,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.337',05,-0.023,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.339',05,0.085,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.341',05,0.093,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.343',05,0.048,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.345',05,0.026,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.347',05,0.011,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.349',05,0.051,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.351',05,0.068,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.353',05,0.073,0.29,6.23,10.645,89.0,12.48,31.78
'0:00.355',05,0.096,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.357',05,0.081,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.359',05,0.106,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.361',05,0.098,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.363',05,0.094,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.365',05,0.157,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.367',05,0.14,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.369',05,0.1,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.371',05,0.084,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.373',05,0.093,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.375',05,0.136,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.377',05,0.149,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.379',05,0.161,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.381',05,0.182,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.383',05,0.177,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.385',05,0.161,0.29,6.225,10.617,89.0,12.48,31.57
'0:00.387',05,0.147,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.389',05,0.131,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.391',05,0.143,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.393',05,0.198,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.395',05,0.211,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.397',05,0.195,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.399',05,0.176,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.401',05,0.092,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.403',05,0.071,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.405',05,0.094,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.407',05,0.051,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.409',05,0.022,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.411',05,0.013,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.413',05,0.051,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.415',05,0.068,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.417',05,0.073,0.311,6.217,10.59,89.0,12.48,31.4
'0:00.419',05,0.096,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.421',05,0.081,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.423',05,0.106,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.425',05,0.098,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.427',05,0.094,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.429',05,0.157,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.431',05,0.14,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.433',05,0.1,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.435',05,0.084,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.438',05,0.093,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.440',05,0.136,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.442',05,0.149,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.444',05,0.161,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.446',05,0.182,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.448',05,0.177,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.450',05,0.161,0.311,6.21,10.563,89.0,12.48,31.22
'0:00.452',05,0.147,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.454',05,0.131,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.456',05,0.145,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.458',05,0.193,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.460',05,0.215,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.462',05,0.193,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.464',05,0.166,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.466',05,0.176,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.468',05,0.211,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.470',05,0.221,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.472',05,0.195,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.474',05,0.19,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.476',05,0.228,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.478',05,0.241,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.480',05,0.219,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.482',05,0.193,0.249,6.202,10.538,75.0,12.48,31.03
'0:00.484',05,0.182,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.486',05,0.222,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.488',05,0.238,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.490',05,0.199,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.492',05,0.209,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.494',05,0.234,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.496',05,0.206,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.498',05,0.187,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.500',05,0.198,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.502',05,0.211,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.504',05,0.245,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.506',05,0.273,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.508',05,0.22,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.510',05,0.159,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.512',05,0.149,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.514',05,0.12,0.249,6.195,10.513,75.0,12.48,30.9
'0:00.516',05,0.11,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.518',05,0.121,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.520',05,0.087,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.522',05,0.068,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.524',05,0.072,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.526',05,0.042,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.528',05,0.038,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.530',05,0.079,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.532',05,0.072,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.534',05,0.002,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.536',05,-0.024,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.538',05,-0.018,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.540',05,-0.031,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.542',05,-0.04,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.544',05,-0.051,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.546',05,-0.04,0.311,6.185,10.491,75.0,12.48,30.78
'0:00.548',05,-0.062,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.550',05,-0.088,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.552',05,-0.054,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.554',05,-0.054,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.556',05,-0.071,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.558',05,-0.09,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.560',05,-0.116,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.563',05,-0.121,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.565',05,-0.111,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.567',05,-0.14,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.569',05,-0.162,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.571',05,-0.12,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.573',05,-0.117,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.575',05,-0.12,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.577',05,-0.095,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.579',05,-0.104,0.311,6.178,10.466,75.0,12.48,30.64
'0:00.581',05,-0.133,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.583',05,-0.153,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.585',05,-0.181,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.587',05,-0.175,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.589',05,-0.121,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.591',05,-0.125,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.593',05,-0.147,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.595',05,-0.128,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.597',05,-0.138,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.599',05,-0.133,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.601',05,-0.136,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.603',05,-0.177,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.605',05,-0.164,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.607',05,-0.143,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.609',05,-0.142,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.611',05,-0.11,0.331,6.17,10.446,75.0,12.48,30.57
'0:00.613',05,-0.133,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.615',05,-0.14,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.617',05,-0.085,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.619',05,-0.11,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.621',05,-0.131,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.623',05,-0.115,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.625',05,-0.134,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.627',05,-0.138,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.629',05,-0.151,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.631',05,-0.148,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.633',05,-0.137,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.635',05,-0.176,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.637',05,-0.16,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.639',05,-0.122,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.641',05,-0.107,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.643',05,-0.144,0.331,6.158,10.421,75.0,12.48,30.52
'0:00.645',05,-0.182,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.647',05,-0.134,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.649',05,-0.148,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.651',05,-0.175,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.653',05,-0.129,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.655',05,-0.094,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.657',05,-0.092,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.659',05,-0.137,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.661',05,-0.179,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.663',05,-0.177,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.665',05,-0.151,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.667',05,-0.164,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.669',05,-0.217,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.671',05,-0.212,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.673',05,-0.164,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.675',05,-0.148,0.601,6.133,10.366,75.0,12.48,30.33
'0:00.677',05,-0.133,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.679',05,-0.093,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.681',05,-0.088,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.683',05,-0.114,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.685',05,-0.109,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.688',05,-0.121,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.690',05,-0.153,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.692',05,-0.153,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.694',05,-0.157,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.696',05,-0.178,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.698',05,-0.195,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.700',05,-0.19,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.702',05,-0.168,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.704',05,-0.197,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.706',05,-0.189,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.708',05,-0.143,0.601,6.12,10.341,75.0,12.48,30.22
'0:00.710',05,-0.15,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.712',05,-0.14,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.714',05,-0.155,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.716',05,-0.154,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.718',05,-0.121,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.720',05,-0.139,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.722',05,-0.137,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.724',05,-0.153,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.726',05,-0.203,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.728',05,-0.226,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.730',05,-0.209,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.732',05,-0.147,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.734',05,-0.105,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.736',05,-0.105,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.738',05,-0.121,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.740',05,-0.142,0.477,6.128,10.354,75.0,12.48,30.28
'0:00.742',05,-0.139,0.477,6.123,10.344,75.0,12.48,30.23
